date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:42:53	253/253	---MCZ	200	added ('OK')	text/plain	date:Sat,%2009%20Jul%202022%2018:42:59%20GMT	https://www.bridgewater.com/robots.txt		(from )
11:42:54	435170/435170	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2018:42:30%20GMT	https://www.bridgewater.com/	C:/My%20Web%20Sites/h/www.bridgewater.com/index.html	(from )
11:42:56	210835/210835	---M-Z	200	added ('OK')	text/css	etag:%22895808669dba5724030cc285f1c82ca6%22	https://bridgewater.brightspotcdn.com/resource/00000171-41a9-d5b9-adfb-e7b992400000/styleguide/All.min.f1f00502689ad3045f3371f25ade0407.gz.css	C:/My%20Web%20Sites/h/bridgewater.brightspotcdn.com/resource/00000171-41a9-d5b9-adfb-e7b992400000/styleguide/All.min.f1f00502689ad3045f3371f25ade0407.gz.css	(from https://www.bridgewater.com/)
11:42:59	154/154	---M--	302	error ('Moved%20Temporarily')	text/html	etag:%228a4fc8df9b277d95b5c76a208861a7e8:1593450006%22	https://cloud.typography.com/67152/6342212/css/fonts.css	C:/My%20Web%20Sites/h/cloud.typography.com/67152/6342212/css/fonts.1.delayed	(from https://www.bridgewater.com/)
11:43:00	108606/108606	---M--	200	added ('OK')	text/css	etag:%221d5aeea31512e309d9d2eea179b27ef7%22	https://bridgewater.brightspotcdn.com/resource/typography/786649/6742D2EB55E54C196.css	C:/My%20Web%20Sites/h/bridgewater.brightspotcdn.com/resource/typography/786649/6742D2EB55E54C196.css	(from https://www.bridgewater.com/)
11:43:00	7860/7860	---M--	200	added ('OK')	image/png	date:Sat,%2009%20Jul%202022%2018:43:06%20GMT	https://www.bridgewater.com/apple-touch-icon.png	C:/My%20Web%20Sites/h/www.bridgewater.com/apple-touch-icon.png	(from https://www.bridgewater.com/)
11:43:01	792/792	---M--	200	added ('OK')	image/png	date:Sat,%2009%20Jul%202022%2018:43:07%20GMT	https://www.bridgewater.com/favicon-32x32.png	C:/My%20Web%20Sites/h/www.bridgewater.com/favicon-32x32.png	(from https://www.bridgewater.com/)
11:43:01	435/435	---M--	200	added ('OK')	image/png	date:Sat,%2009%20Jul%202022%2018:43:07%20GMT	https://www.bridgewater.com/favicon-16x16.png	C:/My%20Web%20Sites/h/www.bridgewater.com/favicon-16x16.png	(from https://www.bridgewater.com/)
11:43:02	639/639	---M-Z	200	added ('OK')	application/xml	date:Sat,%2009%20Jul%202022%2018:43:08%20GMT	https://www.bridgewater.com/index.rss	C:/My%20Web%20Sites/h/www.bridgewater.com/index.rss	(from https://www.bridgewater.com/)
11:43:03	98027/98027	---M-Z	200	added ('OK')	text/javascript	etag:%22408a5f624a9ec3f4bbea3b2823f74d2c%22	https://bridgewater.brightspotcdn.com/resource/00000171-41a9-d5b9-adfb-e7b992400000/styleguide/util/IEPolyfills.7f8946c39bc3cf28da35912d92024d7a.gz.js	C:/My%20Web%20Sites/h/bridgewater.brightspotcdn.com/resource/00000171-41a9-d5b9-adfb-e7b992400000/styleguide/util/IEPolyfills.7f8946c39bc3cf28da35912d92024d7a.gz.js	(from https://www.bridgewater.com/)
